badgeid	Blooper	Seattle	City	Las Vegas	Companion Cube	Game	Computer	Circuit	House	San Francisc	Storm	Stick Buddy	Lightning	Stone	Rain	River	Earth	Air	Fire	Water	Forest	Tree	Life	Sun	Lightbulb	Ice	Alcohol	Fish	Beast	Bear	Cocktail	Man	Human	Otter	Poop	Dark & Stormy	Party	Gay	Woman	Queercon	Hacker	Heart	Coffee	Irish	curr	lastseen
0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	38:38.2
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	51:56.8
2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	35	52:18.3
3	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	5	49:46.0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	46:03.4
5	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18	49:53.0
6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	14:12.8
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23	52:14.7
8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	30	13:28.7
9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	42	02:17.4
10	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	29	01:16.1
11	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	42	49:50.4
12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	19	49:52.4
13	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	42	52:15.0
14	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	30	52:12.7
15	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	28:34.4
